Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
1,1,Simon Guglielmi,support,Team Arkea Samsic,4,0.00,0,80.00,1,0.00,0,54.00,2,0,0,234.00
2,2,Jasper Philipsen,sprinter,Alpecin-Deceuninck,10.3,0.00,0,30.00,1,0.00,0,200.00,1,0,0,230.00
3,3,Mark Cavendish,sprinter,Astana Qazaqstan Team,9,0.00,0,14.00,1,0.00,0,160.00,1,0,0,174.00
4,4,Alpecin-Deceuninck,manager,Alpecin-Deceuninck,10,0.00,0,0.00,0,0.00,0,160.00,1,0,0,160.00
5,5,Biniam Girmay,sprinter,Intermarché - Circus - Wanty,9.2,0.00,0,34.00,1,0.00,0,120.00,1,0,0,154.00
6,6,Astana Qazaqstan Team,manager,Astana Qazaqstan Team,7.2,0.00,0,0.00,0,0.00,0,100.00,1,0,0,100.00
6,6,Luca Mozzato,sprinter,Team Arkea Samsic,6.7,0.00,0,0.00,0,0.00,0,100.00,1,0,0,100.00
8,8,Jordi Meeus,sprinter,BORA-Hansgrohe,7.7,0.00,0,22.00,1,0.00,0,72.00,1,0,0,94.00
9,9,Bryan Coquard,sprinter,Cofidis,7.5,0.00,0,26.00,1,0.00,0,56.00,1,0,0,82.00
10,10,Dylan Groenewegen,sprinter,Team Jayco Alula,9.4,0.00,0,0.00,0,0.00,0,80.00,1,0,0,80.00
11,11,Matis Louvel,youth,Team Arkea Samsic,4.5,0.00,0,0.00,0,0.00,0,72.00,1,0,0,72.00
12,12,Alexander Kristoff,sprinter,Uno-X Pro Cycling Team,8,0.00,0,16.00,1,0.00,0,48.00,1,0,0,64.00
12,12,Phil Bauhaus,sprinter,Bahrain - Victorious,7.6,0.00,0,0.00,0,0.00,0,64.00,1,0,0,64.00
14,14,Mads Pedersen,sprinter,Lidl-Trek,8.5,0.00,0,20.00,1,0.00,0,42.00,1,0,0,62.00
15,15,Intermarche-Circus-Wanty,manager,Intermarché - Circus - Wanty,6.2,0.00,0,0.00,0,0.00,0,60.00,1,0,0,60.00
15,15,Mike Teunissen,support,Intermarché - Circus - Wanty,5.5,0.00,0,0.00,0,0.00,0,60.00,1,0,0,60.00
17,17,Silvan Dillier,support,Alpecin-Deceuninck,4.7,0.00,0,0.00,0,0.00,0,16.00,1,0,0,56.00
18,18,Mathieu Van Der Poel,support,Alpecin-Deceuninck,8,0.00,0,0.00,0,0.00,0,12.00,1,0,0,52.00
19,19,Jonas Rickaert,support,Alpecin-Deceuninck,4.3,0.00,0,0.00,0,0.00,0,8.00,1,0,0,48.00
19,19,Ramon Sinkeldam,support,Alpecin-Deceuninck,4.3,0.00,0,0.00,0,0.00,0,8.00,1,0,0,48.00
21,21,Corbin Strong,youth,Israel-Premier Tech,5.2,0.00,0,36.00,1,0.00,0,8.00,1,0,0,44.00
21,21,Quinten Hermans,support,Alpecin-Deceuninck,4.8,0.00,0,0.00,0,0.00,0,4.00,1,0,0,44.00
23,23,Team Arkea Samsic,manager,Team Arkea Samsic,5.6,0.00,0,0.00,0,0.00,0,40.00,1,0,0,40.00
23,23,Jonas Abrahamsen,support,Uno-X Pro Cycling Team,4,0.00,0,0.00,0,0.00,0,40.00,1,0,0,40.00
25,25,Søren Kragh Andersen,tempo,Alpecin-Deceuninck,5.1,0.00,0,0.00,0,0.00,0,6.00,1,0,0,36.00
26,26,Michael Gogl,climber,Alpecin-Deceuninck,5.3,0.00,0,0.00,0,0.00,0,3.00,1,0,0,33.00
27,27,Thomas Pidcock,youth,INEOS Grenadiers,7.8,0.00,0,0.00,0,0.00,0,28.00,1,0,0,28.00
27,27,Alexis Renard,youth,Cofidis,4.5,0.00,0,20.00,1,0.00,0,8.00,1,0,0,28.00
29,29,Sam Welsford,sprinter,dsm-firmenich,6.5,0.00,0,0.00,0,0.00,0,24.00,1,0,0,24.00
30,30,Mikkel Bjerg,tempo,UAE Team Emirates,6,0.00,0,18.00,1,0.00,0,3.00,1,0,0,21.00
31,31,Team Jayco AIUIA,manager,Team Jayco Alula,7,0.00,0,0.00,0,0.00,0,20.00,1,0,0,20.00
31,31,Søren Wærenskjold,youth,Uno-X Pro Cycling Team,4.6,0.00,0,0.00,0,0.00,0,20.00,1,0,0,20.00
33,33,Fabio Jakobsen,sprinter,Soudal Quick-Step,11,0.00,0,0.00,0,0.00,0,16.00,1,0,0,16.00
34,34,Tadej Pogačar,captain,UAE Team Emirates,11.7,0.00,0,8.00,1,0.00,0,6.00,1,0,0,14.00
35,35,Peter Sagan,sprinter,TotalEnergies,7.9,0.00,0,0.00,0,0.00,0,12.00,1,0,0,12.00
35,35,Matteo Trentin,sprinter,UAE Team Emirates,7.7,0.00,0,6.00,1,0.00,0,6.00,1,0,0,12.00
35,35,Carlos Rodriguez Cano,youth,INEOS Grenadiers,7.3,0.00,0,0.00,0,0.00,0,12.00,1,0,0,12.00
35,35,Oliver Naesen,support,AG2R Citroën Team,6.2,0.00,0,0.00,0,0.00,0,12.00,1,0,0,12.00
35,35,Nils Politt,support,BORA-Hansgrohe,5.9,0.00,0,0.00,0,0.00,0,12.00,1,0,0,12.00
35,35,Guillaume Boivin,support,Israel-Premier Tech,4.5,0.00,0,0.00,0,0.00,0,12.00,1,0,0,12.00
35,35,Olivier Le Gac,support,Groupama - FDJ,4.3,0.00,0,0.00,0,0.00,0,12.00,1,0,0,12.00
42,42,Adam Yates,climber,UAE Team Emirates,8.2,0.00,0,0.00,0,0.00,0,9.00,1,0,0,9.00
42,42,Marc Soler,climber,UAE Team Emirates,7.5,0.00,0,6.00,1,0.00,0,3.00,1,0,0,9.00
42,42,Emanuel Buchmann,climber,BORA-Hansgrohe,6.5,0.00,0,0.00,0,0.00,0,9.00,1,0,0,9.00
42,42,Bob Jungels,tempo,BORA-Hansgrohe,6.2,0.00,0,0.00,0,0.00,0,9.00,1,0,0,9.00
42,42,Aurelien Paret-Peintre,climber,AG2R Citroën Team,6,0.00,0,0.00,0,0.00,0,9.00,1,0,0,9.00
47,47,Skjelmose  Mattias Jensen,youth,Lidl-Trek,7.8,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Jasper Stuyven,support,Lidl-Trek,7,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Pierre Latour,captain,TotalEnergies,6.9,0.00,0,0.00,0,6.00,1,2.00,1,0,0,8.00
47,47,Fred Wright,youth,Bahrain - Victorious,6.7,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Benoit Cosnefroy,support,AG2R Citroën Team,6.2,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Felix Gall,youth,AG2R Citroën Team,6.1,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Valentin Madouas,support,Groupama - FDJ,6,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Anthony Turgis,support,TotalEnergies,6,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Kevin Geniets,support,Groupama - FDJ,5.5,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Gianni Moscon,support,Astana Qazaqstan Team,5.5,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Florian Vermeersch,youth,Lotto Dstny,5.4,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,John Degenkolb,support,dsm-firmenich,5.4,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Michael Mørkøv,support,Soudal Quick-Step,5.1,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Tony Gallopin,support,Lidl-Trek,5.1,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Jasper De Buyst,support,Lotto Dstny,5.1,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Edvald Boasson Hagen,support,TotalEnergies,5,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Marco Haller,support,BORA-Hansgrohe,5,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Nikias Arndt,support,Bahrain - Victorious,5,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Nils Eekhoff,youth,dsm-firmenich,4.9,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Dion Smith,support,Intermarché - Circus - Wanty,4.8,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Kevin Vermaerke,youth,dsm-firmenich,4.7,0.00,0,4.00,1,0.00,0,4.00,1,0,0,8.00
47,47,Hugo Houle,support,Israel-Premier Tech,4.7,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Alex Kirsch,support,Lidl-Trek,4.6,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Stan Dewulf,support,AG2R Citroën Team,4.6,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Lars van de Berg,youth,Groupama - FDJ,4.5,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Elmar Reinders,support,Team Jayco Alula,4.3,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Daniel Oss,support,TotalEnergies,4.2,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Clement Berthet,support,AG2R Citroën Team,4.1,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Adrien Petit,support,Intermarché - Circus - Wanty,4,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
47,47,Vegard Stake Laengen,support,UAE Team Emirates,3.9,0.00,0,0.00,0,0.00,0,8.00,1,0,0,8.00
